Brand,Country,Company,Type,Quality_Level,Specialization,Website,Notes
ГПЗ-1,Россия,Первый подшипниковый завод,Производитель,Индустриальный,Широкий ассортимент,www.gpz.ru,Основан в 1932 г.
ГПЗ-3,Россия,Подольский подшипниковый завод,Производитель,Индустриальный,Шариковые подшипники,,
ГПЗ-4,Россия,Кунцевский подшипниковый завод,Производитель,Индустриальный,Прецизионные подшипники,,
ГПЗ-5,Россия,Курский подшипниковый завод,Производитель,Индустриальный,Игольчатые подшипники,,
ГПЗ-9,Россия,Самарский подшипниковый завод (СПЗ),Производитель,Индустриальный,Широкий ассортимент,www.spz.ru,
ГПЗ-10,Россия,Ростовский опытный подшипниковый завод,Производитель,Индустриальный,Специальные подшипники,,
ГПЗ-15,Россия,Волжский подшипниковый завод,Производитель,Индустриальный,Конические подшипники,,
ГПЗ-23,Россия,Вологодский подшипниковый завод (ВПЗ),Производитель,Индустриальный,Шариковые подшипники,www.vbf.ru,
МПЗ,Беларусь,Минский подшипниковый завод,Производитель,Индустриальный,Широкий ассортимент,www.mpz.by,
УПЗ,Украина,Украинский подшипниковый завод,Производитель,Индустриальный,Автомобильные подшипники,,Харьков
