section_number,section_title,article_number,article_title,slug,statuses,warnings
1,Маркировка подшипников,1.1,Условное обозначение подшипников по ГОСТ,1-1,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.2,Структура обозначения ГОСТ,1-2,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.3,Расшифровка основного номера подшипника,1-3,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.4,Обозначение внутреннего диаметра,1-4,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.5,Обозначение размерных серий,1-5,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.6,Обозначение типов подшипников,1-6,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.7,Префиксы в маркировке ГОСТ,1-7,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.8,Суффиксы в маркировке ГОСТ,1-8,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.9,Классы точности,1-9,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.10,Радиальные и осевые зазоры,1-10,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.11,Обозначение момента трения,1-11,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.12,Категории подшипников,1-12,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.13,Обозначение сепараторов,1-13,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.14,Обозначение смазки,1-14,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.15,Обозначение температурного исполнения,1-15,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.16,Обозначение уровня шума и вибрации,1-16,нет данных; уточнить; требует проверки; не подтверждено,
1,Маркировка подшипников,1.17,Примеры расшифровки маркировки,1-17,нет данных; уточнить; требует проверки; не подтверждено,
2,"ГОСТ, ISO, ЕТУ и аналоги",2.1,ГОСТ подшипники,2-1,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.2,Основные ГОСТы по подшипникам,2-2,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.3,Подшипники ISO,2-3,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.4,Структура ISO-обозначения,2-4,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.5,Префиксы ISO,2-5,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.6,Суффиксы ISO,2-6,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.7,Отличия маркировки разных производителей,2-7,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.8,Аналоги ГОСТ → ISO,2-8,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.9,Аналоги ISO → ГОСТ,2-9,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.10,Аналоги дополнительных обозначений ГОСТ и ISO,2-10,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.11,ЕТУ и ТУ подшипников,2-11,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.12,Специальные и нестандартные обозначения,2-12,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.13,Коды ТН ВЭД для подшипников,2-13,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
2,"ГОСТ, ISO, ЕТУ и аналоги",2.14,Правила проверки аналогов,2-14,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
3,Конструкция и техническая теория,3.1,Что такое подшипник,3-1,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.2,Основные элементы подшипника,3-2,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.3,Внутреннее кольцо,3-3,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.4,Наружное кольцо,3-4,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.5,Тела качения,3-5,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.6,Дорожки качения,3-6,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.7,Сепаратор,3-7,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.8,Уплотнения и защитные шайбы,3-8,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.9,Смазка подшипников,3-9,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.10,Предварительный натяг,3-10,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.11,Радиальный и осевой зазор,3-11,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.12,Посадки подшипников,3-12,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.13,Предельная частота вращения,3-13,нет данных; уточнить; требует проверки; не подтверждено,
3,Конструкция и техническая теория,3.14,Нагрузка и ресурс подшипника,3-14,нет данных; уточнить; требует проверки; не подтверждено,
